x,y
33.33185993,78.97998324
33.33186993,78.97998315
33.33187993,78.97998306
33.33188993,78.97998297
33.33189993,78.97998288
33.33190993,78.97998279
33.33191993,78.9799827
33.33192993,78.97998261
33.33193993,78.97998252
33.33194993,78.97998243
33.33195993,78.97998234
33.33196993,78.97998225
33.33197993,78.97998216
33.33198993,78.97998207
33.33199993,78.97998198
33.33200993,78.97998189
33.33201993,78.9799818
33.33202993,78.97998171
33.33203993,78.97998162
33.33204993,78.97998153
33.33205993,78.97998144
33.33206993,78.97998135
33.33207993,78.97998126
33.33208992,78.97998117
33.33209992,78.97998108
33.33210992,78.97998099
33.33211992,78.9799809
33.33212992,78.97998081
33.33213992,78.97998072
33.33214992,78.97998063
33.33215992,78.97998054
33.33216992,78.97998045
33.33217992,78.97998036
33.33218992,78.97998027
33.33219992,78.97998018
33.33220992,78.97998009
33.33221992,78.97998
33.33222992,78.97997991
33.33223992,78.97997982
33.33224992,78.97997973
33.33225992,78.97997964
33.33226992,78.97997955
33.33227992,78.97997946
33.33228992,78.97997937
33.33229992,78.97997928
33.33230992,78.97997919
33.33231992,78.9799791
33.33232992,78.97997901
33.33233992,78.97997892
33.33234992,78.97997883
33.33235991,78.97997874
33.33236991,78.97997865
33.33237991,78.97997856
33.33238991,78.97997847
33.33239991,78.97997838
33.33240991,78.97997829
33.33241991,78.9799782
33.33242991,78.97997811
33.33243991,78.97997802
33.33244991,78.97997793
33.33245991,78.97997784
33.33246991,78.97997775
33.33247991,78.97997766
33.33248991,78.97997757
33.33249991,78.97997748
33.33250991,78.97997739
33.33251991,78.9799773
33.33252991,78.97997721
33.33253991,78.97997712
33.33254991,78.97997703
33.33255991,78.97997694
33.33256991,78.97997685
33.33257991,78.97997676
33.33258991,78.97997667
33.33259991,78.97997658
33.33260991,78.97997649
33.33261991,78.9799764
33.33262991,78.97997631
33.3326399,78.97997622
33.3326499,78.97997613
33.3326599,78.97997604
33.3326699,78.97997595
33.3326799,78.97997586
33.3326899,78.97997577
33.3326999,78.97997568
33.3327099,78.97997559
33.3327199,78.9799755
33.3327299,78.97997541
33.3327399,78.97997532
33.3327499,78.97997523
33.3327599,78.97997514
33.3327699,78.97997505
33.3327799,78.97997496
33.3327899,78.97997487
33.3327999,78.97997478
33.3328099,78.97997469
33.3328199,78.9799746
33.3328299,78.97997451
33.3328399,78.97997442
33.3328499,78.97997433
33.3328599,78.97997424
33.3328699,78.97997415
33.3328799,78.97997405
33.3328899,78.97997396
33.3328999,78.97997387
33.3329099,78.97997378
33.33291989,78.97997369
33.33292989,78.9799736
33.33293989,78.97997351
33.33294989,78.97997342
33.33295989,78.97997333
33.33296989,78.97997324
33.33297989,78.97997315
33.33298989,78.97997306
33.33299989,78.97997297
33.33300989,78.97997288
33.33301989,78.97997279
33.33302989,78.9799727
33.33303989,78.97997261
33.33304989,78.97997252
33.33305989,78.97997243
33.33306989,78.97997234
33.33307989,78.97997225
33.33308989,78.97997216
33.33309989,78.97997207
33.33310989,78.97997198
33.33311989,78.97997189
33.33312989,78.9799718
33.33313989,78.97997171
33.33314989,78.97997162
33.33315989,78.97997153
33.33316989,78.97997144
33.33317989,78.97997135
33.33318989,78.97997126
33.33319988,78.97997117
33.33320988,78.97997108
33.33321988,78.97997099
33.33322988,78.9799709
33.33323988,78.97997081
33.33324988,78.97997072
33.33325988,78.97997063
33.33326988,78.97997054
33.33327988,78.97997045
33.33328988,78.97997036
33.33329988,78.97997027
33.33330988,78.97997018
33.33331988,78.97997009
33.33332988,78.97997
33.33333988,78.97996991
33.33334988,78.97996982
33.33335988,78.97996973
33.33336988,78.97996964
33.33337988,78.97996955
33.33338988,78.97996946
33.33339988,78.97996937
33.33340988,78.97996928
33.33341988,78.97996919
33.33342988,78.9799691
33.33343988,78.97996901
33.33344988,78.97996892
33.33345988,78.97996883
33.33346987,78.97996874
33.33347987,78.97996865
33.33348987,78.97996856
33.33349987,78.97996847
33.33350987,78.97996838
33.33351987,78.97996829
33.33352987,78.9799682
33.33353987,78.97996811
33.33354987,78.97996802
33.33355987,78.97996793
33.33356987,78.97996784
33.33357987,78.97996775
33.33358987,78.97996766
33.33359987,78.97996757
33.33360987,78.97996748
33.33361987,78.97996739
33.33362987,78.9799673
33.33363987,78.97996721
33.33364987,78.97996712
33.33365987,78.97996703
33.33366987,78.97996694
33.33367987,78.97996685
33.33368987,78.97996676
33.33369987,78.97996667
33.33370987,78.97996658
33.33371987,78.97996649
33.33372987,78.9799664
33.33373987,78.97996631
33.33374986,78.97996622
33.33375986,78.97996613
33.33376986,78.97996604
33.33377986,78.97996595
33.33378986,78.97996586
33.33379986,78.97996577
33.33380986,78.97996568
33.33381986,78.97996559
33.33382986,78.9799655
33.33383986,78.97996541
33.33384986,78.97996532
33.33385986,78.97996523
33.33386986,78.97996514
33.33387986,78.97996505
33.33388986,78.97996496
33.33389986,78.97996487
33.33390986,78.97996478
33.33391986,78.97996469
33.33392986,78.9799646
33.33393986,78.97996451
33.33394986,78.97996442
33.33395986,78.97996433
33.33396986,78.97996424
33.33397986,78.97996415
33.33398986,78.97996406
33.33399986,78.97996397
33.33400986,78.97996388
33.33401986,78.97996379
33.33402985,78.9799637
33.33403985,78.9799636
33.33404985,78.97996351
33.33405985,78.97996342
33.33406985,78.97996333
33.33407985,78.97996324
33.33408985,78.97996315
33.33409985,78.97996306
33.33410985,78.97996297
33.33411985,78.97996288
33.33412985,78.97996279
33.33413985,78.9799627
33.33414985,78.97996261
33.33415985,78.97996252
33.33416985,78.97996243
33.33417985,78.97996234
33.33418985,78.97996225
33.33419985,78.97996216
33.33420985,78.97996207
33.33421985,78.97996198
33.33422985,78.97996189
33.33423985,78.9799618
33.33424985,78.97996171
33.33425985,78.97996162
33.33426985,78.97996153
33.33427985,78.97996144
33.33428985,78.97996135
33.33429985,78.97996126
33.33430984,78.97996117
33.33431984,78.97996108
33.33432984,78.97996099
33.33433984,78.9799609
33.33434984,78.97996081
33.33435984,78.97996072
33.33436984,78.97996063
33.33437984,78.97996054
33.33438984,78.97996045
33.33439984,78.97996036
33.33440984,78.97996027
33.33441984,78.97996018
33.33442984,78.97996009
33.33443984,78.97996
33.33444984,78.97995991
33.33445984,78.97995982
33.33446984,78.97995973
33.33447984,78.97995964
33.33448984,78.97995955
33.33449984,78.97995946
33.33450984,78.97995937
33.33451984,78.97995928
33.33452984,78.97995919
33.33453984,78.9799591
33.33454984,78.97995901
33.33455984,78.97995892
33.33456984,78.97995883
33.33457983,78.97995874
33.33458983,78.97995865
33.33459983,78.97995856
33.33460983,78.97995847
33.33461983,78.97995838
33.33462983,78.97995829
33.33463983,78.9799582
33.33464983,78.97995811
33.33465983,78.97995802
33.33466983,78.97995793
33.33467983,78.97995784
33.33468983,78.97995775
33.33469983,78.97995766
33.33470983,78.97995757
33.33471983,78.97995748
33.33472983,78.97995739
33.33473983,78.9799573
33.33474983,78.97995721
33.33475983,78.97995712
33.33476983,78.97995703
33.33477983,78.97995694
33.33478983,78.97995685
33.33479983,78.97995676
33.33480983,78.97995667
33.33481983,78.97995658
33.33482983,78.97995649
33.33483983,78.9799564
33.33484983,78.97995631
33.33485982,78.97995622
33.33486982,78.97995613
33.33487982,78.97995604
33.33488982,78.97995595
33.33489982,78.97995586
33.33490982,78.97995577
33.33491982,78.97995568
33.33492982,78.97995559
33.33493982,78.9799555
33.33494982,78.97995541
33.33495982,78.97995532
33.33496982,78.97995523
33.33497982,78.97995514
33.33498982,78.97995505
33.33499982,78.97995496
33.33500982,78.97995487
33.33501982,78.97995478
33.33502982,78.97995469
33.33503982,78.9799546
33.33504982,78.97995451
33.33505982,78.97995442
33.33506982,78.97995433
33.33507982,78.97995424
33.33508982,78.97995415
33.33509982,78.97995406
33.33510982,78.97995397
33.33511982,78.97995388
33.33512982,78.97995379
33.33513981,78.9799537
33.33514981,78.97995361
33.33515981,78.97995352
33.33516981,78.97995343
33.33517981,78.97995334
33.33518981,78.97995324
33.33519981,78.97995315
33.33520981,78.97995306
33.33521981,78.97995297
33.33522981,78.97995288
33.33523981,78.97995279
33.33524981,78.9799527
33.33525981,78.97995261
